Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2018,"CAR",28392819.98,17028951.62,2409526.46,13667,8940674.9,960495.45,203309,0,496692.38,16068456.17,2206217.46,13667,8443982.52,1660496.83,26732323.15,0,0,0,0,0
2018,"DRC",68521023.72,41312214.55,24385805.11,1288881.49,1534122.57,33700792.96,21672202.56,1288881.49,1534122.57,7611421.59,2713602.55,0,0,58195999.58,10325024.14,0,0,0,0,0
2018,"Ethiopia",84667535.84,49593133.7,5703847.61,0,29370554.53,23111550.34,3208986.8,0,19561986.99,26481583.36,2494860.81,0,9808567.54,45882524.13,38785011.71,0,0,0,0,0
2018,"Iraq",36590937.66,20782370.8,5220654.8,1129676.83,9458235.23,0,132300,0,2499281.11,20782370.8,5088354.8,1129676.83,6958954.12,2631581.11,33959356.55,0,0,0,0,0
2018,"Jordan",10372517.73,5835640.32,3283137.33,397740.08,856000,600003.04,399997.03,0,856000,5235637.28,2883140.3,397740.08,0,1856000.07,8516517.66,0,0,0,0,0
2018,"Lebanon",14695922.66,4472979.21,5727103.29,79950,4415890.16,838876.2,373387.84,0,4415890.16,3634103.01,5353715.45,79950,0,5628154.2,9067768.46,0,0,0,0,0
2018,"Myanmar",12815852.52,6159623.45,5786204.68,0,870024.39,777379.27,218560,0,0,5382244.18,5567644.68,0,870024.39,995939.27,11819913.25,0,0,0,0,0
2018,"Nigeria",36066923.52,8836396.31,6054927.33,0,21175599.88,4407635.84,1495958.7,0,14137531.92,4428760.47,4558968.63,0,7038067.96,20041126.46,16025797.06,0,0,0,0,0
2018,"oPt",21172933.45,8871330.87,7617631.05,0,4683971.53,3487752.94,2098539.39,0,3858849.85,5383577.93,5519091.66,0,825121.68,9445142.18,11727791.27,0,0,0,0,0
2018,"Pakistan",5358172.46,1585649.85,3772522.61,0,0,0,125054.32,0,0,1585649.85,3647468.29,0,0,125054.32,5233118.14,0,0,0,0,0
2018,"Somalia",52967289.37,26446066.33,24687364.56,733858.45,1100000.03,8080060.72,4391906.19,586381.42,0,18366005.61,20295458.37,147477.03,1100000.03,13058348.33,39908941.04,0,0,0,0,0
2018,"South Sudan",53365968.25,21753810.12,20343610.32,0,11268547.81,1603421.39,0,0,360000,20150388.73,20343610.32,0,10908547.81,1963421.39,51402546.86,0,0,0,0,0
2018,"Sudan",42489846.55,29870495.19,7452837.3,0,5166514.06,3644432.18,656650.07,0,1907231.72,26226063.01,6796187.23,0,3259282.34,6208313.97,36281532.58,0,0,0,0,0
2018,"Syria",36974947.64,12177511.13,8311580.58,1378013.93,15107842,3723575.56,4512773.88,1378013.93,12038375.03,8453935.57,3798806.7,0,3069466.97,21652738.4,15322209.24,0,0,0,0,0
2018,"Syria Cross border",81708247.88,16354775.6,48049921.77,2310955.11,14992595.4,11707925.28,29229019.59,2013483.91,8369908.73,4646850.32,18820902.18,297471.2,6622686.67,51320337.51,30387910.37,0,0,0,0,0
2018,"Yemen",188161347.32,50159786.4,52003548.27,3392925.81,82605086.84,12333285.39,7706880.17,1393757.39,79798097.63,37826501.01,44296668.1,1999168.42,2806989.21,101232020.58,86929326.74,0,0,0,0,0
